gk,ump,peng,upah,provinsi,cluster
293697.0,1900000.0,395136.0,11226.0,ACEH,0
293697.0,1900000.0,260183.00000000006,11226.0,ACEH,0
293697.0,1900000.0,655319.0,11226.0,ACEH,0
293697.0,1900000.0,466355.0,11226.0,ACEH,0
293697.0,1900000.0,529945.0,11226.0,ACEH,0
293697.0,1900000.0,996300.0,11226.0,ACEH,0
293697.0,1900000.0,415354.0,11226.0,ACEH,0
293697.0,1900000.0,336764.0,11226.0,ACEH,0
293697.0,1900000.0,752118.0,11226.0,ACEH,0
302128.0,1900000.0,395136.0,11226.0,ACEH,0
302128.0,1900000.0,260183.00000000006,11226.0,ACEH,0
302128.0,1900000.0,655319.0,11226.0,ACEH,0
302128.0,1900000.0,466355.0,11226.0,ACEH,0
302128.0,1900000.0,529945.0,11226.0,ACEH,0
302128.0,1900000.0,996300.0,11226.0,ACEH,0
302128.0,1900000.0,415354.0,11226.0,ACEH,0
302128.0,1900000.0,336764.0,11226.0,ACEH,0
302128.0,1900000.0,752118.0,11226.0,ACEH,0
306243.0,2118500.0,412251.0,13627.0,ACEH,0
306243.0,2118500.0,272829.0,13627.0,ACEH,0
306243.0,2118500.0,685080.0,13627.0,ACEH,0
306243.0,2118500.0,548853.0,13627.0,ACEH,0
306243.0,2118500.0,559492.0,13627.0,ACEH,0
306243.0,2118500.0,1108346.0,13627.0,ACEH,2
306243.0,2118500.0,451952.0,13627.0,ACEH,0
306243.0,2118500.0,356142.0,13627.0,ACEH,0
306243.0,2118500.0,808094.0,13627.0,ACEH,0
319768.0,2118500.0,412251.0,13627.0,ACEH,0
319768.0,2118500.0,272829.0,13627.0,ACEH,0
319768.0,2118500.0,685080.0,13627.0,ACEH,0
319768.0,2118500.0,548853.0,13627.0,ACEH,0
319768.0,2118500.0,559492.0,13627.0,ACEH,0
319768.0,2118500.0,1108346.0,13627.0,ACEH,2
319768.0,2118500.0,451952.0,13627.0,ACEH,0
319768.0,2118500.0,356142.0,13627.0,ACEH,0
319768.0,2118500.0,808094.0,13627.0,ACEH,0
297479.0,1900000.0,395136.0,11226.0,ACEH,0
297479.0,1900000.0,260183.00000000006,11226.0,ACEH,0
297479.0,1900000.0,655319.0,11226.0,ACEH,0
297479.0,1900000.0,466355.0,11226.0,ACEH,0
297479.0,1900000.0,529945.0,11226.0,ACEH,0
297479.0,1900000.0,996300.0,11226.0,ACEH,0
297479.0,1900000.0,415354.0,11226.0,ACEH,0
297479.0,1900000.0,336764.0,11226.0,ACEH,0
297479.0,1900000.0,752118.0,11226.0,ACEH,0
306737.0,1900000.0,395136.0,11226.0,ACEH,0
306737.0,1900000.0,260183.00000000006,11226.0,ACEH,0
306737.0,1900000.0,655319.0,11226.0,ACEH,0
306737.0,1900000.0,466355.0,11226.0,ACEH,0
306737.0,1900000.0,529945.0,11226.0,ACEH,0
306737.0,1900000.0,996300.0,11226.0,ACEH,0
306737.0,1900000.0,415354.0,11226.0,ACEH,0
306737.0,1900000.0,336764.0,11226.0,ACEH,0
306737.0,1900000.0,752118.0,11226.0,ACEH,0
315697.0,2118500.0,412251.0,13627.0,ACEH,0
315697.0,2118500.0,272829.0,13627.0,ACEH,0
315697.0,2118500.0,685080.0,13627.0,ACEH,0
315697.0,2118500.0,548853.0,13627.0,ACEH,0
315697.0,2118500.0,559492.0,13627.0,ACEH,0
315697.0,2118500.0,1108346.0,13627.0,ACEH,2
315697.0,2118500.0,451952.0,13627.0,ACEH,0
315697.0,2118500.0,356142.0,13627.0,ACEH,0
315697.0,2118500.0,808094.0,13627.0,ACEH,0
324854.0,2118500.0,412251.0,13627.0,ACEH,0
324854.0,2118500.0,272829.0,13627.0,ACEH,0
324854.0,2118500.0,685080.0,13627.0,ACEH,0
324854.0,2118500.0,548853.0,13627.0,ACEH,0
324854.0,2118500.0,559492.0,13627.0,ACEH,0
324854.0,2118500.0,1108346.0,13627.0,ACEH,2
324854.0,2118500.0,451952.0,13627.0,ACEH,0
324854.0,2118500.0,356142.0,13627.0,ACEH,0
324854.0,2118500.0,808094.0,13627.0,ACEH,2
296406.0,1900000.0,395136.0,11226.0,ACEH,0
296406.0,1900000.0,260183.00000000006,11226.0,ACEH,0
296406.0,1900000.0,655319.0,11226.0,ACEH,0
296406.0,1900000.0,466355.0,11226.0,ACEH,0
296406.0,1900000.0,529945.0,11226.0,ACEH,0
296406.0,1900000.0,996300.0,11226.0,ACEH,0
296406.0,1900000.0,415354.0,11226.0,ACEH,0
296406.0,1900000.0,336764.0,11226.0,ACEH,0
296406.0,1900000.0,752118.0,11226.0,ACEH,0
305428.0,1900000.0,395136.0,11226.0,ACEH,0
305428.0,1900000.0,260183.00000000006,11226.0,ACEH,0
305428.0,1900000.0,655319.0,11226.0,ACEH,0
305428.0,1900000.0,466355.0,11226.0,ACEH,0
305428.0,1900000.0,529945.0,11226.0,ACEH,0
305428.0,1900000.0,996300.0,11226.0,ACEH,0
305428.0,1900000.0,415354.0,11226.0,ACEH,0
305428.0,1900000.0,336764.0,11226.0,ACEH,0
305428.0,1900000.0,752118.0,11226.0,ACEH,0
312801.0,2118500.0,412251.0,13627.0,ACEH,0
312801.0,2118500.0,272829.0,13627.0,ACEH,0
312801.0,2118500.0,685080.0,13627.0,ACEH,0
